"Transactions  for Checking account ...849 as of 08/26/2023 04:21:47 PM ET"
"Date","Type","Check #","Description","Withdrawal (-)","Deposit (+)","RunningBalance"
"06/06/2023","CHECK","110","Check Paid #110","$25.00","","$49,605.98"
"06/05/2023","CHECK","112","Check Paid #112","$150.00","","$49,630.98"
"06/01/2023","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$49,780.98"
"06/01/2023","ACH","","UNITEDWHOLESALE LOAN PAYMT 060123","$2,893.32","","$49,880.98"
"05/31/2023","INTADJUST","","Interest Paid","","$20.31","$52,774.30"
"05/30/2023","ACH","","CITI AUTOPAY PAYMENT 230526","$28.00","","$52,753.99"
"05/26/2023","CHECK","108","Check Paid #108","$450.00","","$52,781.99"
"05/26/2023","ACH","","C117804 SCIENCE DIR DEP 230525","","$4,596.14","$53,231.99"
"05/25/2023","ACH","","1ST BANKCARD CTR CR CRD PMT 230525~ Tran","$139.99","","$48,635.85"
"05/16/2023","ACH","","CAPITAL ONE CRCARDPMT 230515","$2,237.11","","$48,775.84"
"05/12/2023","CHECK","109","Check Paid #109","$165.00","","$51,012.95"
"05/12/2023","ACH","","C117804 SCIENCE DIR DEP 230511","","$2,652.98","$51,177.95"
"05/11/2023","ACH","","VENMO PAYMENT 230510","$12.00","","$48,524.97"
"05/08/2023","CHECK","107","Check Paid #107","$260.00","","$48,536.97"
"05/02/2023","ACH","","PAYPAL INST XFER 230501","$55.20","","$48,796.97"
"05/02/2023","ACH","","VENMO CASHOUT 230501","","$232.50","$48,852.17"
"05/01/2023","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$48,619.67"
"05/01/2023","ACH","","UNITEDWHOLESALE LOAN PAYMT 050123","$2,893.32","","$48,719.67"
"04/28/2023","INTADJUST","","Interest Paid","","$18.87","$51,612.99"
"04/28/2023","ATMREBATE","","ATM Fee Rebate","","$3.50","$51,594.12"
"04/28/2023","CHECK","106","Check Paid #106","$247.00","","$51,590.62"
"04/27/2023","ACH","","CITI AUTOPAY PAYMENT 230426","$388.66","","$51,837.62"
"04/25/2023","ACH","","1ST BANKCARD CTR CR CRD PMT 230425~ Tran","$62.72","","$52,226.28"
"04/17/2023","ACH","","CAPITAL ONE CRCARDPMT 230415","$2,898.23","","$52,289.00"
"04/13/2023","ATM","","WEST COLLE 50 W COLLEGE SANTA ROSA","$83.50","","$55,187.23"
"04/04/2023","ACH","","CARTA 259F0151-7 EDI PYMNTS","$4,750.00","","$55,270.73"
"04/04/2023","ACH","","CARTA 259F0151-7 EDI PYMNTS","$2,187.50","","$60,020.73"
"04/03/2023","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$62,208.23"
"04/03/2023","ACH","","UNITEDWHOLESALE LOAN PAYMT 040123","$2,900.42","","$62,308.23"
"04/03/2023","ACH","","IRS  TREAS 310 TAX REF 040323~ Tran: ACH","","$3,437.00","$65,208.65"
"03/31/2023","INTADJUST","","Interest Paid","","$23.24","$61,771.65"
"03/29/2023","CHECK","105","Check Paid #105","$650.00","","$61,748.41"
"03/28/2023","ACH","","CITI AUTOPAY PAYMENT 230327","$269.83","","$62,398.41"
"03/27/2023","ACH","","1ST BANKCARD CTR CR CRD PMT 230327~ Tran","$62.72","","$62,668.24"
"03/21/2023","ACH","","LOWES PAYMENT 230320","$91.74","","$62,730.96"
"03/20/2023","CHECK","103","Check Paid #103","$142.20","","$62,822.70"
"03/20/2023","CHECK","104","Check Paid #104","$111.20","","$62,964.90"
"03/17/2023","ACH","","GUSTO PAYROLL PAY 818103 230317","","$866.09","$63,076.10"
"03/16/2023","ACH","","CAPITAL ONE CRCARDPMT 230315","$881.40","","$62,210.01"
"03/15/2023","ACH","","GUSTO PAYROLL PAY 727148 230315","","$4,482.74","$63,091.41"
"03/01/2023","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$58,608.67"
"03/01/2023","ACH","","UNITEDWHOLESALE LOAN PAYMT 030123","$2,900.42","","$58,708.67"
"02/28/2023","INTADJUST","","Interest Paid","","$19.67","$61,609.09"
"02/28/2023","ATMREBATE","","ATM Fee Rebate","","$7.00","$61,589.42"
"02/28/2023","ACH","","GUSTO PAYROLL PAY 413967 230228","","$3,949.24","$61,582.42"
"02/28/2023","ACH","","CITI AUTOPAY PAYMENT 230227","$28.00","","$57,633.18"
"02/27/2023","ACH","","1ST BANKCARD CTR CR CRD PMT 230227~ Tran","$62.72","","$57,661.18"
"02/21/2023","ATM","","Sweet Dirt 2 LLC Eliot Eliot","$303.50","","$57,723.90"
"02/21/2023","ATM","","Sweet Dirt 2 LLC Eliot Eliot","$403.50","","$58,027.40"
"02/21/2023","CHECK","101","Check Paid #101","$70.00","","$58,430.90"
"02/17/2023","ACH","","BIOBOT ANALYTICS EXPENSIFY","","$40.00","$58,500.90"
"02/16/2023","ACH","","CAPITAL ONE CRCARDPMT 230215","$925.02","","$58,460.90"
"02/15/2023","ACH","","GUSTO PAYROLL PAY 148874 230215","","$3,949.24","$59,385.92"
"02/13/2023","ACH","","PAYPAL INST XFER 230211","$124.81","","$55,436.68"
"02/02/2023","ACH","","HONDA PMT 8005435636 C23032","$465.44","","$55,561.49"
"02/01/2023","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$56,026.93"
"02/01/2023","ACH","","UNITEDWHOLESALE LOAN PAYMT 020123","$2,900.42","","$56,126.93"
"01/31/2023","INTADJUST","","Interest Paid","","$22.11","$59,027.35"
"01/31/2023","ACH","","GUSTO PAYROLL PAY 790147 230131","","$3,949.40","$59,005.24"
"01/27/2023","ACH","","CITI AUTOPAY PAYMENT 230126","$59.28","","$55,055.84"
"01/25/2023","CHECK","145","Check Paid #145","$35.00","","$55,115.12"
"01/25/2023","ACH","","1ST BANKCARD CTR CR CRD PMT 230125~ Tran","$90.44","","$55,150.12"
"01/23/2023","ACH","","LOWES PAYMENT 230120","$1,194.97","","$55,240.56"
"01/17/2023","ACH","","CAPITAL ONE CRCARDPMT 230115","$2,019.48","","$56,435.53"
"01/13/2023","ACH","","GUSTO PAYROLL PAY 551883 230113","","$3,949.39","$58,455.01"
"01/13/2023","ACH","","VENMO PAYMENT 230112","$120.00","","$54,505.62"
"01/03/2023","ACH","","HONDA PMT 8005435636 C23002","$466.65","","$54,625.62"
"01/03/2023","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$55,092.27"
"01/03/2023","ACH","","UNITEDWHOLESALE LOAN PAYMT 010123","$2,849.25","","$55,192.27"
"12/30/2022","INTADJUST","","Interest Paid","","$17.00","$58,041.52"
"12/30/2022","VISA","","Orchestra              Saint Au, ne #000","$39.38","","$58,024.52"
"12/30/2022","ACH","","GUSTO PAYROLL PAY 177438 221230","","$5,344.41","$58,063.90"
"12/29/2022","ACH","","CITI AUTOPAY PAYMENT 221228","$3.05","","$52,719.49"
"12/18/2022","DEPOSIT","","Deposit Mobile Banking","","$200.00","$52,722.54"
"12/16/2022","ACH","","CAPITAL ONE CRCARDPMT 221215","$828.89","","$52,522.54"
"12/15/2022","ACH","","GUSTO PAYROLL PAY 933952 221215","","$5,170.42","$53,351.43"
"12/02/2022","ACH","","HONDA PMT 8005435636 C22335","$466.65","","$48,181.01"
"12/01/2022","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$48,647.66"
"12/01/2022","ACH","","UNITEDWHOLESALE LOAN PAYMT 120122","$2,849.25","","$48,747.66"
"11/30/2022","INTADJUST","","Interest Paid","","$15.55","$51,596.91"
"11/30/2022","ACH","","GUSTO PAYROLL PAY 579334 221130","","$4,928.49","$51,581.36"
"11/22/2022","ACH","","1ST BANKCARD CTR ONLINE PMT 221122","$196.72","","$46,652.87"
"11/21/2022","ACH","","LOWES PAYMENT 221120","$1,154.37","","$46,849.59"
"11/18/2022","ACH","","CAPITAL ONE ONLINE PMT 221117","$2,653.63","","$48,003.96"
"11/17/2022","CHECK","144","Check Paid #144","$290.00","","$50,657.59"
"11/17/2022","ACH","","CAPITAL ONE CRCARDPMT 221116","$29.00","","$50,947.59"
"11/15/2022","ACH","","GUSTO PAYROLL PAY 358706 221115","","$4,103.50","$50,976.59"
"11/08/2022","DEPOSIT","","Deposit Mobile Banking","","$856.00","$46,873.09"
"11/02/2022","ACH","","HONDA PMT 8005435636 C22305","$466.65","","$46,017.09"
"11/01/2022","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$46,483.74"
"11/01/2022","ACH","","UNITEDWHOLESALE LOAN PAYMT 110122","$2,849.25","","$46,583.74"
"11/01/2022","ACH","","BIOBOT ANALYTICS EXPENSIFY","","$25.00","$49,432.99"
"10/31/2022","INTADJUST","","Interest Paid","","$15.08","$49,407.99"
"10/31/2022","ACH","","GUSTO PAYROLL PAY 082578 221031","","$3,922.24","$49,392.91"
"10/31/2022","ACH","","CITI AUTOPAY PAYMENT 221028","$8.50","","$45,470.67"
"10/18/2022","ACH","","CAPITAL ONE CRCARDPMT 221016","$29.00","","$45,479.17"
"10/14/2022","ACH","","GUSTO PAYROLL PAY 400185 221014","","$3,922.24","$45,508.17"
"10/07/2022","ACH","","CAPITAL ONE ONLINE PMT 221006","$486.56","","$41,585.93"
"10/07/2022","ACH","","BK OF AMER MC ONLINE PMT 221007","$128.44","","$42,072.49"
"10/07/2022","ACH","","CITI CARD ONLINE PAYMENT 221006","$54.99","","$42,200.93"
"10/07/2022","ACH","","BIOBOT ANALYTICS EXPENSIFY","","$37.12","$42,255.92"
"10/04/2022","ACH","","HONDA PMT 8005435636 C22276","$466.65","","$42,218.80"
"10/03/2022","CHECK","142","Check Paid #142","$750.00","","$42,685.45"
"10/03/2022","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$43,435.45"
"10/03/2022","ACH","","UNITEDWHOLESALE LOAN PAYMT 100122","$2,849.25","","$43,535.45"
"09/30/2022","INTADJUST","","Interest Paid","","$8.64","$46,384.70"
"09/30/2022","ACH","","GUSTO PAYROLL PAY 391488 220930","","$3,922.24","$46,376.06"
"09/29/2022","ACH","","VENMO PAYMENT 220928","$75.00","","$42,453.82"
"09/23/2022","ACH","","VENMO PAYMENT 220922","$10.00","","$42,528.82"
"09/19/2022","ACH","","CAPITAL ONE CRCARDPMT 220916","$83.00","","$42,538.82"
"09/15/2022","ACH","","GUSTO PAYROLL PAY 850216 220915","","$3,922.24","$42,621.82"
"09/12/2022","ACH","","CAPITAL ONE ONLINE PMT 220909","$553.99","","$38,699.58"
"09/02/2022","ACH","","HONDA PMT 8005435636 C22244","$466.65","","$39,253.57"
"09/01/2022","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$39,720.22"
"09/01/2022","ACH","","UNITEDWHOLESALE LOAN PAYMT 090122","$2,849.25","","$39,820.22"
"08/31/2022","INTADJUST","","Interest Paid","","$8.53","$42,669.47"
"08/31/2022","ATMREBATE","","ATM Fee Rebate","","$3.00","$42,660.94"
"08/31/2022","VISA","","HEAVEN'S NORTH END MART MANCHESTER","$29.75","","$42,657.94"
"08/31/2022","ACH","","GUSTO PAYROLL PAY 079841 220831","","$3,922.24","$42,687.69"
"08/30/2022","ACH","","CITI AUTOPAY PAYMENT 220829","$4.00","","$38,765.45"
"08/28/2022","ATM","","TBIRD ANTRIM STORE 674 ANTRIM","$203.00","","$38,769.45"
"08/24/2022","ACH","","CAPITAL ONE ONLINE PMT 220823","$3,725.60","","$38,972.45"
"08/24/2022","ACH","","BK OF AMER MC ONLINE PMT 220824","$75.72","","$42,698.05"
"08/23/2022","ACH","","BK OF AMER MC ONLINE PMT 220823","$25.00","","$42,773.77"
"08/17/2022","ACH","","CAPITAL ONE CRCARDPMT 220816","$40.00","","$42,798.77"
"08/15/2022","ACH","","GUSTO PAYROLL PAY 546270 220815","","$3,922.25","$42,838.77"
"08/15/2022","ACH","","GUSTO PAYROLL PAY 546270 220815","","$372.79","$38,916.52"
"08/15/2022","ACH","","PAYPAL INST XFER 220812","$9.99","","$38,543.73"
"08/11/2022","ACH","","BK OF AMER MC ONLINE PMT 220811","$75.72","","$38,553.72"
"08/11/2022","ACH","","CITI CARD ONLINE PAYMENT 220810","$43.02","","$38,629.44"
"08/02/2022","ACH","","HONDA PMT 8005435636 C22213","$466.65","","$38,672.46"
"08/01/2022","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$39,139.11"
"08/01/2022","ACH","","UNITEDWHOLESALE LOAN PAYMT 080122","$2,849.25","","$39,239.11"
"07/29/2022","INTADJUST","","Interest Paid","","$4.12","$42,088.36"
"07/29/2022","ATMREBATE","","ATM Fee Rebate","","$9.00","$42,084.24"
"07/29/2022","ACH","","CITI AUTOPAY PAYMENT 220728","$1.00","","$42,075.24"
"07/29/2022","ACH","","GUSTO PAYROLL PAY 752521 220729","","$3,788.87","$42,076.24"
"07/27/2022","ACH","","BIOBOT ANALYTICS EXPENSIFY","","$750.54","$38,287.37"
"07/25/2022","ACH","","BK OF AMER MC ONLINE PMT 220725","$25.00","","$37,536.83"
"07/15/2022","ACH","","GUSTO PAYROLL PAY 191409 220715","","$3,788.86","$37,561.83"
"07/13/2022","CHECK","141","Check Paid #141","$50.00","","$33,772.97"
"07/11/2022","ACH","","BK OF AMER MC ONLINE PMT 220711","$75.72","","$33,822.97"
"07/11/2022","ACH","","CITI CARD ONLINE PAYMENT 220710","$1.00","","$33,898.69"
"07/10/2022","ATM","","PAI ISO 74 MAIN STREET FRANCESTOWN","$124.50","","$33,899.69"
"07/10/2022","ATM","","PAI ISO 74 MAIN STREET FRANCESTOWN","$204.50","","$34,024.19"
"07/05/2022","ACH","","HONDA PMT 8004579929 C22182","$466.65","","$34,228.69"
"07/01/2022","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$34,695.34"
"07/01/2022","ACH","","UNITEDWHOLESALE LOAN PAYMT 070122","$2,849.25","","$34,795.34"
"06/30/2022","INTADJUST","","Interest Paid","","$1.32","$37,644.59"
"06/30/2022","ATMREBATE","","ATM Fee Rebate","","$6.50","$37,643.27"
"06/30/2022","ACH","","GUSTO PAYROLL PAY 628300 220630","","$3,788.88","$37,636.77"
"06/29/2022","ACH","","CITI AUTOPAY PAYMENT 220628","$16.80","","$33,847.89"
"06/23/2022","ACH","","CARDMEMBER SERV WEB PYMT 220622","$2,203.47","","$33,864.69"
"06/23/2022","ACH","","BK OF AMER MC ONLINE PMT 220623","$25.00","","$36,068.16"
"06/21/2022","ACH","","CARDMEMBER SERV WEB PYMT 220617","$1,242.99","","$36,093.16"
"06/21/2022","ACH","","BK OF AMER MC ONLINE PMT 220621","$75.72","","$37,336.15"
"06/17/2022","CHECK","140","Check Paid #140","$140.00","","$37,411.87"
"06/15/2022","ACH","","GUSTO PAYROLL PAY 189168 220615","","$3,788.86","$37,551.87"
"06/06/2022","ACH","","CITI CARD ONLINE PAYMENT 220605","$29.80","","$33,763.01"
"06/04/2022","ATM","","CIRCLE K # 4 TECHNOLOGY BEDFORD","$503.25","","$33,792.81"
"06/04/2022","ATM","","CIRCLE K # 4 TECHNOLOGY BEDFORD","$503.25","","$34,296.06"
"06/02/2022","ACH","","HONDA PMT 8004579929 C22152","$466.65","","$34,799.31"
"06/01/2022","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$35,265.96"
"06/01/2022","ACH","","UNITEDWHOLESALE LOAN PAYMT 060122","$2,849.25","","$35,365.96"
"05/31/2022","INTADJUST","","Interest Paid","","$0.90","$38,215.21"
"05/31/2022","ATMREBATE","","ATM Fee Rebate","","$33.75","$38,214.31"
"05/31/2022","ACH","","CITI AUTOPAY PAYMENT 220530","$10.20","","$38,180.56"
"05/31/2022","ACH","","GUSTO PAYROLL PAY 728601 220531","","$3,788.87","$38,190.76"
"05/30/2022","ATM","","Joes Kwik Mart 507 219 ALLSTON","$203.75","","$34,401.89"
"05/30/2022","ATM","","Joes Kwik Mart 507 219 ALLSTON","$203.75","","$34,605.64"
"05/30/2022","ATM","","Joes Kwik Mart 507 219 ALLSTON","$203.75","","$34,809.39"
"05/25/2022","ATM","","PAI ISO 74 MAIN STREET FRANCESTOWN","$124.50","","$35,013.14"
"05/25/2022","ATM","","PAI ISO 74 MAIN STREET FRANCESTOWN","$124.50","","$35,137.64"
"05/24/2022","ATM","","PAI ISO 74 MAIN STREET FRANCESTOWN","$124.50","","$35,262.14"
"05/24/2022","ATM","","PAI ISO 74 MAIN STREET FRANCESTOWN","$124.50","","$35,386.64"
"05/24/2022","ATM","","PAI ISO 74 MAIN STREET FRANCESTOWN","$124.50","","$35,511.14"
"05/23/2022","ACH","","BK OF AMER MC ONLINE PMT 220523","$25.00","","$35,635.64"
"05/17/2022","DEPOSIT","","Deposit Mobile Banking","","$45.00","$35,660.64"
"05/13/2022","ACH","","GUSTO PAYROLL PAY 290086 220513","","$3,788.87","$35,615.64"
"05/12/2022","ACH","","CARDMEMBER SERV WEB PYMT 220511","$493.51","","$31,826.77"
"05/12/2022","ACH","","BK OF AMER MC ONLINE PMT 220512","$73.94","","$32,320.28"
"05/12/2022","ACH","","CITI CARD ONLINE PAYMENT 220511","$10.20","","$32,394.22"
"05/06/2022","ACH","","BIOBOT ANALYTICS EXPENSIFY 000000","","$112.55","$32,404.42"
"05/03/2022","ACH","","HONDA PMT 8004579929 C22122","$466.65","","$32,291.87"
"05/03/2022","ACH","","BIOBOT ANALYTICS EXPENSIFY 000000","","$91.31","$32,758.52"
"05/02/2022","ACH","","ALAIN DUVALLE CK POPMONEY 220502","","$1,000.00","$32,667.21"
"05/02/2022","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$31,667.21"
"05/02/2022","ACH","","UNITEDWHOLESALE LOAN PAYMT 050122","$2,849.25","","$31,767.21"
"04/29/2022","INTADJUST","","Interest Paid","","$0.70","$34,616.46"
"04/29/2022","ACH","","CITI AUTOPAY PAYMENT 220428","$35.00","","$34,615.76"
"04/29/2022","ACH","","GUSTO PAYROLL PAY 621674 220429","","$3,788.86","$34,650.76"
"04/29/2022","ACH","","BIOBOT ANALYTICS EXPENSIFY 000000","","$113.81","$30,861.90"
"04/28/2022","ACH","","CITI CARD ONLINE PAYMENT 220427","$100.43","","$30,748.09"
"04/25/2022","ACH","","BK OF AMER MC ONLINE PMT 220425","$25.00","","$30,848.52"
"04/15/2022","ACH","","GUSTO PAYROLL PAY 317591 220415","","$3,788.90","$30,873.52"
"04/06/2022","ACH","","CARDMEMBER SERV WEB PYMT 220405","$1,466.86","","$27,084.62"
"04/06/2022","ACH","","BIOBOT ANALYTICS EXPENSIFY 000000","","$178.95","$28,551.48"
"04/06/2022","ACH","","BK OF AMER MC ONLINE PMT 220406","$132.15","","$28,372.53"
"04/04/2022","ACH","","HONDA PMT 8004579929 C22091","$466.65","","$28,504.68"
"04/01/2022","ACH","","BIOBOT ANALYTICS EXPENSIFY 000000","","$45.00","$28,971.33"
"04/01/2022","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$28,926.33"
"04/01/2022","ACH","","UNITEDWHOLESALE LOAN PAYMT 040122","$2,849.25","","$29,026.33"
"03/31/2022","INTADJUST","","Interest Paid","","$0.66","$31,875.58"
"03/31/2022","ACH","","GUSTO PAYROLL PAY 697777 220331","","$3,788.86","$31,874.92"
"03/29/2022","ACH","","CITI AUTOPAY PAYMENT 220328","$35.00","","$28,086.06"
"03/28/2022","ACH","","TPG PRODUCTS SBTPG LLC 220325","","$789.00","$28,121.06"
"03/22/2022","ACH","","COMM OF MASS EFT MA DOR PAY 220321","$121.00","","$27,332.06"
"03/21/2022","CHECK","139","Check Paid #139","$211.20","","$27,453.06"
"03/21/2022","ACH","","CITI CARD ONLINE PAYMENT 220320","$954.20","","$27,664.26"
"03/18/2022","ACH","","BIOBOT ANALYTICS EXPENSIFY 000000","","$621.70","$28,618.46"
"03/18/2022","ACH","","BIOBOT ANALYTICS EXPENSIFY 000000","","$472.20","$27,996.76"
"03/15/2022","ACH","","GUSTO PAYROLL PAY 332095 220315","","$3,788.86","$27,524.56"
"03/02/2022","ACH","","HONDA PMT 8004579929 C22060","$466.65","","$23,735.70"
"03/01/2022","CHECK","137","Check Paid #137","$190.00","","$24,202.35"
"03/01/2022","ACH","","CITI AUTOPAY PAYMENT 220228","$35.00","","$24,392.35"
"03/01/2022","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$24,427.35"
"03/01/2022","ACH","","UNITEDWHOLESALE LOAN PAYMT 030122","$2,849.25","","$24,527.35"
"02/28/2022","INTADJUST","","Interest Paid","","$0.55","$27,376.60"
"02/28/2022","CHECK","138","Check Paid #138","$90.00","","$27,376.05"
"02/28/2022","ACH","","CITI CARD ONLINE PAYMENT 220225","$248.27","","$27,466.05"
"02/28/2022","ACH","","GUSTO PAYROLL PAY 942519 220228","","$3,788.88","$27,714.32"
"02/28/2022","ACH","","BIOBOT ANALYTICS EXPENSIFY 000000","","$690.00","$23,925.44"
"02/25/2022","ACH","","BK OF AMER MC ONLINE PMT 220225","$60.72","","$23,235.44"
"02/23/2022","ACH","","CARDMEMBER SERV WEB PYMT 220222","$1,688.98","","$23,296.16"
"02/23/2022","ACH","","BK OF AMER MC ONLINE PMT 220223","$25.00","","$24,985.14"
"02/18/2022","ACH","","CARDMEMBER SERV WEB PYMT 220217","$1,323.25","","$25,010.14"
"02/16/2022","ACH","","GUSTO PAYROLL PAY 696388 220216","","$3,788.86","$26,333.39"
"02/11/2022","ACH","","PAYPAL INST XFER 220210","$100.00","","$22,544.53"
"02/07/2022","ACH","","PAYPAL INST XFER 220205","$287.32","","$22,644.53"
"02/07/2022","ACH","","PAYPAL INST XFER 220205","$223.03","","$22,931.85"
"02/02/2022","ACH","","HONDA PMT 8004579929 C22032","$466.65","","$23,154.88"
"02/01/2022","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$23,621.53"
"02/01/2022","ACH","","UNITEDWHOLESALE LOAN PAYMT 020122","$2,849.25","","$23,721.53"
"01/31/2022","INTADJUST","","Interest Paid","","$0.55","$26,570.78"
"01/31/2022","ACH","","BK OF AMER MC ONLINE PMT 220131","$122.94","","$26,570.23"
"01/31/2022","ACH","","CITI AUTOPAY PAYMENT 220128","$3.50","","$26,693.17"
"01/31/2022","ACH","","GUSTO PAYROLL PAY 329933 220131","","$3,655.74","$26,696.67"
"01/25/2022","CHECK","134","Check Paid #134","$15.00","","$23,040.93"
"01/24/2022","ACH","","BK OF AMER MC ONLINE PMT 220124","$25.00","","$23,055.93"
"01/19/2022","CHECK","135","Check Paid #135","$270.00","","$23,080.93"
"01/14/2022","ACH","","GUSTO PAYROLL PAY 893366 220114","","$3,655.74","$23,350.93"
"01/13/2022","CHECK","136","Check Paid #136","$30.00","","$19,695.19"
"01/09/2022","DEPOSIT","","Deposit Mobile Banking","","$8.00","$19,725.19"
"01/06/2022","ACH","","ALAIN DUVALLE CK POPMONEY 220106","","$725.00","$19,717.19"
"01/04/2022","ACH","","HONDA PMT 8004579929 C22003","$466.65","","$18,992.19"
"01/03/2022","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$19,458.84"
"12/31/2021","INTADJUST","","Interest Paid","","$0.42","$19,558.84"
"12/31/2021","ACH","","GUSTO PAYROLL PAY 556721 211231","","$4,546.20","$19,558.42"
"12/28/2021","ACH","","BIOBOT ANALYTICS EXPENSIFY 000000","","$19.00","$15,012.22"
"12/27/2021","CHECK","133","Check Paid #133","$410.00","","$14,993.22"
"12/24/2021","CHECK","132","Check Paid #132","$1,050.00","","$15,403.22"
"12/23/2021","ACH","","CARDMEMBER SERV WEB PYMT 211222","$2,747.17","","$16,453.22"
"12/23/2021","ACH","","BK OF AMER MC ONLINE PMT 211223","$25.00","","$19,200.39"
"12/17/2021","ACH","","BK OF AMER MC ONLINE PMT 211217","$78.80","","$19,225.39"
"12/15/2021","ACH","","GUSTO PAYROLL PAY 147132 211215","","$3,556.51","$19,304.19"
"12/06/2021","ACH","","BIOBOT ANALYTICS EXPENSIFY 000000","","$274.12","$15,747.68"
